aX,aY,aZ,gX,gY,gZ
-0.592,0.184,0.924,41.626,17.395,41.260
-0.610,0.077,0.883,33.081,14.465,36.865
-0.584,-0.106,0.870,23.315,12.390,34.241
-0.544,-0.233,0.901,17.700,11.108,36.499
-0.527,-0.365,0.907,18.494,11.780,41.565
-0.514,-0.368,0.889,24.719,13.245,47.974
-0.496,-0.327,0.849,36.072,13.672,52.673
-0.458,-0.320,0.811,40.955,13.428,53.223
-0.426,-0.337,0.780,40.222,12.085,53.284
-0.370,-0.365,0.713,35.461,11.841,54.260
-0.345,-0.317,0.742,28.198,9.949,57.495
-0.290,-0.312,0.777,13.184,7.568,58.655
-0.241,-0.392,0.852,-0.061,6.165,57.129
-0.203,-0.524,0.957,-10.315,6.287,56.335
-0.196,-0.644,0.953,-10.681,10.071,58.899
-0.189,-0.752,0.895,-1.770,13.550,63.599
-0.172,-0.633,0.812,11.292,14.343,71.289
-0.117,-0.391,0.761,24.902,11.597,76.233
-0.030,-0.333,0.771,29.358,6.714,72.083
0.038,-0.266,0.861,20.447,3.906,68.237
0.078,-0.193,0.946,6.775,4.333,65.125
0.092,-0.272,1.039,-2.930,6.592,57.007
0.146,-0.426,1.129,-5.310,10.376,48.218
0.197,-0.472,1.192,-4.395,16.541,45.654
0.230,-0.416,1.166,-2.869,24.414,48.340
0.266,-0.221,1.142,0.977,30.029,50.293
0.315,-0.086,1.127,9.583,32.532,45.410
0.370,-0.064,1.122,16.052,35.034,35.095
0.452,0.030,1.107,20.630,37.598,26.123
0.550,0.075,1.086,22.705,41.565,15.076
0.672,0.040,1.060,18.188,47.485,2.686
0.715,-0.037,1.035,6.531,55.481,-6.775
0.733,-0.113,0.943,-3.174,63.904,-12.634
0.745,-0.179,0.869,-5.310,67.078,-17.273
0.766,-0.197,0.782,-2.686,66.833,-21.179
0.820,-0.126,0.762,4.883,62.134,-24.048
0.860,-0.086,0.723,15.930,56.091,-29.053
0.895,-0.072,0.616,24.231,51.208,-34.363
0.946,-0.071,0.602,25.940,44.189,-38.025
0.976,-0.095,0.632,20.691,38.269,-40.344
0.983,-0.139,0.642,10.620,34.912,-41.931
0.974,-0.170,0.661,2.075,31.128,-41.504
0.907,-0.189,0.633,-1.709,27.283,-39.795
0.817,-0.154,0.553,3.662,21.667,-37.231
0.755,-0.183,0.507,10.681,11.414,-37.598
0.701,-0.207,0.575,11.780,-1.221,-37.720
0.662,-0.257,0.664,6.897,-10.864,-36.865
0.643,-0.330,0.903,-4.272,-18.982,-36.133
0.600,-0.411,1.032,-12.207,-20.325,-34.485
0.534,-0.497,1.097,-14.771,-17.395,-32.898
0.457,-0.581,1.096,-12.939,-14.526,-30.579
0.375,-0.644,1.086,-5.676,-12.573,-26.062
0.302,-0.693,1.084,-1.587,-11.963,-20.020
0.253,-0.753,1.100,-0.854,-12.024,-13.611
0.242,-0.760,1.145,0.854,-12.817,-6.287
0.254,-0.686,1.160,3.601,-10.986,0.793
0.260,-0.558,1.176,3.540,-7.507,6.653
0.252,-0.468,1.132,1.221,-2.258,9.338
0.232,-0.438,1.087,-3.723,2.441,9.888
0.212,-0.429,1.041,-7.141,5.676,10.376
0.183,-0.401,0.983,-6.775,7.568,11.902
0.163,-0.383,0.909,-3.357,7.263,13.611
0.157,-0.360,0.881,-0.061,4.761,15.869
0.147,-0.292,0.858,2.136,1.709,18.127
0.153,-0.202,0.851,5.554,-0.977,19.226
0.162,-0.151,0.889,6.714,-3.113,17.212
0.161,-0.120,0.893,2.930,-2.869,13.672
0.155,-0.168,0.917,-3.174,-2.380,9.155
0.128,-0.240,0.925,-8.850,-1.282,5.310
0.090,-0.313,0.899,-10.437,-0.244,3.296
0.059,-0.394,0.856,-6.348,-0.488,2.991
0.039,-0.396,0.854,-1.160,-2.686,5.737
0.029,-0.318,0.841,5.310,-5.493,9.216
0.040,-0.274,0.868,10.132,-9.277,9.888
0.072,-0.200,0.922,10.925,-11.292,8.789
0.089,-0.075,0.946,6.897,-10.132,6.653
0.094,-0.140,0.957,-1.587,-7.629,0.732
0.091,-0.224,0.968,-9.949,-4.639,-4.028
0.074,-0.290,0.989,-14.099,-2.502,-5.615
0.055,-0.348,0.962,-11.108,-1.099,-5.798
0.040,-0.401,0.940,-3.418,-0.977,-4.395
0.038,-0.416,0.944,3.357,-2.197,-1.404
0.045,-0.383,0.947,9.155,-3.662,2.625
0.070,-0.302,0.955,13.550,-5.066,5.554
0.116,-0.151,0.960,16.479,-5.066,5.920
0.143,-0.087,0.940,11.536,-2.808,2.197
0.144,-0.133,0.919,0.244,0.061,-3.235
0.130,-0.219,0.902,-8.179,2.075,-7.568
0.118,-0.341,0.903,-9.827,2.930,-10.315

-2.066,0.360,0.459,-46.143,-20.447,-146.790
-2.293,0.170,0.364,-44.312,-26.306,-152.527
-2.365,-0.030,0.489,-53.528,-45.532,-154.297
-2.221,-0.374,0.877,-65.979,-72.937,-152.222
-1.910,-0.789,1.451,-71.533,-93.872,-144.043
-1.483,-1.109,1.939,-51.453,-98.511,-127.075
-1.093,-1.366,2.117,-3.113,-81.665,-105.957
-0.832,-1.500,1.865,61.340,-49.133,-80.383
-0.762,-1.438,1.377,123.474,-17.090,-48.828
-0.771,-1.167,0.880,167.847,1.160,-15.076
-0.800,-0.774,0.556,185.791,3.662,17.090
-0.822,-0.306,0.470,171.021,-4.700,44.189
-0.771,0.254,0.610,137.329,-18.066,64.087
-0.692,0.651,0.867,92.468,-27.649,68.420
-0.572,0.750,1.029,45.044,-25.452,58.167
-0.436,0.614,1.146,4.944,-17.212,43.884
-0.432,0.551,1.119,-20.508,-6.042,33.936
-0.430,0.457,0.916,-31.433,6.653,25.513
-0.486,0.319,0.785,-39.612,10.254,17.883
-0.559,0.205,0.652,-38.696,9.155,13.123
-0.618,0.176,0.591,-38.208,2.502,12.756
-0.644,0.170,0.643,-35.461,-6.958,13.428
-0.666,0.134,0.776,-31.799,-15.503,12.878
-0.644,-0.048,0.876,-25.940,-17.029,9.705
-0.646,-0.201,0.958,-18.433,-16.785,12.024
-0.676,-0.214,0.999,-17.029,-15.381,20.264
-0.687,-0.216,1.048,-16.113,-14.221,27.771
-0.696,-0.206,1.083,-10.376,-13.062,32.104
-0.720,-0.121,1.098,-1.587,-11.780,36.316
-0.709,-0.138,1.109,8.972,-9.705,36.865
-0.682,-0.177,1.064,19.714,-6.592,38.025
-0.659,-0.187,1.030,25.452,-3.967,42.358
-0.630,-0.245,1.007,24.780,-1.526,46.143
-0.620,-0.264,1.007,20.752,0.000,50.232
-0.624,-0.271,1.007,17.639,2.380,53.955
-0.613,-0.353,0.924,16.785,5.981,55.359
-0.565,-0.469,0.920,21.729,7.324,56.152
-0.533,-0.602,0.934,26.001,6.592,57.983
-0.515,-0.593,0.892,32.715,8.545,64.026
-0.502,-0.435,0.807,35.828,9.766,71.045
-0.449,-0.299,0.789,33.752,9.277,71.167
-0.419,-0.379,0.878,24.841,8.362,63.904
-0.406,-0.439,0.896,14.038,12.268,57.800
-0.401,-0.517,0.901,1.465,17.273,54.626
-0.379,-0.630,0.889,-6.775,21.667,52.246
-0.311,-0.725,0.846,-11.597,23.682,52.673
