aX,aY,aZ,gX,gY,gZ
-0.504,0.172,2.162,0.244,-33.997,145.630
-0.476,0.329,2.140,5.737,-22.217,142.517
-0.450,0.433,2.120,9.827,-9.705,137.817
-0.442,0.561,2.062,15.015,1.160,131.226
-0.445,0.708,1.991,18.433,11.536,123.108
-0.434,0.820,1.923,19.165,20.386,112.488
-0.424,0.887,1.838,14.587,28.748,99.243
-0.405,0.849,1.766,6.531,36.133,85.388
-0.388,0.769,1.692,-0.793,43.152,71.838
-0.376,0.710,1.571,-0.793,50.537,61.646
-0.373,0.693,1.400,7.751,56.580,53.101
-0.364,0.707,1.239,17.151,59.570,45.776
-0.358,0.724,1.121,25.146,58.228,37.292
-0.349,0.684,1.000,26.611,55.908,27.344
-0.317,0.558,0.981,21.301,51.270,16.846
-0.299,0.456,0.945,16.479,48.035,9.033
-0.289,0.340,0.848,12.512,47.363,3.235
-0.284,0.255,0.759,11.536,45.654,0.061
-0.272,0.206,0.666,14.221,42.053,-1.221

-0.287,0.480,1.914,-53.894,72.632,68.420
-0.288,0.286,1.769,-85.571,91.614,47.363
-0.302,0.019,1.552,-104.797,107.361,32.471
-0.307,-0.143,1.342,-106.506,116.516,26.978
-0.289,-0.280,1.212,-99.670,119.202,27.466
-0.263,-0.255,1.162,-86.853,117.920,33.752
-0.239,-0.157,1.116,-75.623,115.845,41.626
-0.207,-0.130,1.102,-68.237,113.586,46.387
-0.176,-0.080,0.999,-62.561,113.953,50.720
-0.156,0.129,0.982,-57.373,112.793,55.542
-0.127,0.392,1.097,-56.274,108.521,54.932
-0.094,0.592,1.157,-70.374,108.765,46.326
-0.060,0.648,1.071,-102.112,116.150,31.067
-0.033,0.537,1.048,-129.211,119.263,12.939
-0.025,0.411,1.029,-139.160,120.667,-1.221
-0.013,0.309,0.899,-135.132,124.695,-8.911
-0.015,0.315,0.757,-116.699,125.916,-11.047
-0.027,0.392,0.658,-92.285,121.399,-10.071
-0.034,0.502,0.579,-76.416,113.953,-10.376
-0.022,0.589,0.653,-57.190,101.563,-12.573
-0.021,0.603,0.636,-46.814,94.299,-18.799
-0.033,0.688,0.688,-43.335,88.562,-23.804
-0.049,0.791,0.771,-35.645,82.581,-29.785
-0.063,0.870,0.848,-36.255,81.177,-38.574
-0.068,0.901,0.959,-45.593,81.482,-49.561
-0.065,0.908,1.068,-53.833,84.290,-61.279
-0.075,0.869,1.051,-58.289,92.651,-73.792
-0.103,0.793,0.833,-59.143,104.614,-86.426
-0.137,0.755,0.543,-54.138,110.291,-96.069
-0.164,0.743,0.321,-47.546,105.042,-102.661
-0.166,0.746,0.197,-41.687,92.896,-108.765
-0.160,0.708,0.201,-34.302,76.111,-115.417
-0.144,0.685,0.263,-29.297,60.364,-120.361
-0.113,0.630,0.400,-27.466,48.828,-124.207
-0.088,0.525,0.572,-21.851,42.053,-127.014
-0.080,0.517,0.638,-21.484,44.250,-127.075
-0.085,0.502,0.573,-17.944,50.110,-128.113
-0.101,0.524,0.453,-16.357,55.237,-129.333
-0.114,0.536,0.312,-16.296,55.481,-132.202
